Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
Restoran Pizza,Pizza e Birra Sports Bar Cilandak Town Square,,https://www.google.com/maps/place/Pizza+e+Birra+Sports+Bar+Cilandak+Town+Square/data=!4m7!3m6!1s0x2e69ed8905a2914d:0x1389eb0ec141154f!8m2!3d-6.2918097!4d106.7998854!16s%2Fg%2F11fj2lx770!19sChIJTZGiBYntaS4RTxVBwQ7riRM?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 22.00,,(808),,"4,8 bintang",Rabu11.00–22.00Kamis11.00–22.00Jumat11.00–22.00Sabtu11.00–22.00Minggu11.00–22.00Senin11.00–22.00Selasa11.00–22.00Sarankan jam buka baru
Bar Olahraga,Sport Stube by Stube Group,,https://www.google.com/maps/place/Sport+Stube+by+Stube+Group/data=!4m7!3m6!1s0x2e69f1a522886a4f:0x3b8158349ddff68!8m2!3d-6.2684223!4d106.7848568!16s%2Fg%2F11bwyfrt_1!19sChIJT2qIIqXxaS4RaP_dSYMVuAM?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 23.30,,(1.754),,"4,6 bintang",Rabu11.00–23.30Kamis11.00–23.30Jumat11.00–23.30Sabtu10.00–23.30Minggu10.00–23.30Senin11.00–23.30Selasa11.00–23.30Sarankan jam buka baru
Restoran,The Sports Bar,,https://www.google.com/maps/place/The+Sports+Bar/data=!4m7!3m6!1s0x2e69ef3f4a62fb0d:0xfb97efd9cda17fbb!8m2!3d-6.3059381!4d106.7948226!16s%2Fg%2F11xw7dy308!19sChIJDftiSj_vaS4Ru3-hzdnvl_s?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 23.00,,(4),,"5,0 bintang",Rabu09.00–23.00Kamis09.00–23.00Jumat09.00–00.00Sabtu09.00–00.00Minggu09.00–23.00Senin09.00–23.00Selasa09.00–23.00Sarankan jam buka baru
Bar Olahraga,Brewerkz,,https://www.google.com/maps/place/Brewerkz/data=!4m7!3m6!1s0x2e69f14861e1963d:0x1751af2c4628beec!8m2!3d-6.2267683!4d106.797665!16s%2Fg%2F11bc7rv2tf!19sChIJPZbhYUjxaS4R7L4oRiyvURc?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 00.00,,(1.554),,"4,7 bintang",Rabu10.00–00.00Kamis10.00–00.00Jumat10.00–02.00Sabtu10.00–02.00Minggu10.00–00.00Senin10.00–00.00Selasa10.00–00.00Sarankan jam buka baru
Restoran,"Bull & Vine Restaurant, Deli, Lounge and Sports Bar",,"https://www.google.com/maps/place/Bull+%26+Vine+Restaurant,+Deli,+Lounge+and+Sports+Bar/data=!4m7!3m6!1s0x2e69f1ad91320427:0x9446bbe167d297b2!8m2!3d-6.2573788!4d106.8133988!16s%2Fg%2F11sxwtgbv_!19sChIJJwQyka3xaS4RspfSZ-G7RpQ?authuser=0&hl=id&rclk=1",,,Buka⋅ Tutup pukul 01.00,,(103),,"4,7 bintang",Rabu12.00–01.00Kamis12.00–01.00Jumat12.00–01.00Sabtu12.00–01.00Minggu11.00–01.00Senin12.00–01.00Selasa12.00–01.00Sarankan jam buka baru
Bar,Cazbar,,https://www.google.com/maps/place/Cazbar/data=!4m7!3m6!1s0x2e69f41ccfe39965:0xacef699de4253d1!8m2!3d-6.2313958!4d106.8279454!16s%2Fg%2F1tdpjhks!19sChIJZZnjzxz0aS4R0VNC3pn2zgo?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 00.00,,(1.035),,"4,5 bintang",Rabu12.00–00.00Kamis12.00–00.00Jumat12.00–00.00Sabtu17.00–00.00MingguTutupSenin12.00–00.00Selasa12.00–00.00Sarankan jam buka baru
Restoran,STARK Taproom,,https://www.google.com/maps/place/STARK+Taproom/data=!4m7!3m6!1s0x2e69f1beb0541ee3:0x2fbe6f56138d4ad1!8m2!3d-6.2261022!4d106.8130781!16s%2Fg%2F11j4hwgh4r!19sChIJ4x5UsL7xaS4R0UqNE1Zvvi8?authuser=0&hl=id&rclk=1,,,,,(710),,"4,6 bintang",
Bar Olahraga,Equator Billiard,,https://www.google.com/maps/place/Equator+Billiard/data=!4m7!3m6!1s0x2e69f1e09ab266c5:0x43ae5e59d0224773!8m2!3d-6.2968369!4d106.794927!16s%2Fg%2F1td8vyd8!19sChIJxWaymuDxaS4Rc0ci0FlerkM?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 23.00,,(14),,"4,4 bintang",Rabu08.00–23.00Kamis08.00–23.00Jumat08.00–23.00Sabtu08.00–23.00Minggu08.00–23.00Senin08.00–23.00Selasa08.00–23.00Sarankan jam buka baru
Bar Olahraga,LABEWA CUE SPORTS KALIBATA,,https://www.google.com/maps/place/LABEWA+CUE+SPORTS+KALIBATA/data=!4m7!3m6!1s0x2e69f30009ead6ff:0x53ad5900e95eea6a!8m2!3d-6.2569053!4d106.8551332!16s%2Fg%2F11lyl5jy8y!19sChIJ_9bqCQDzaS4Raupe6QBZrVM?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 02.00,,(91),,"4,2 bintang",Rabu11.30–02.00Kamis11.30–02.00Jumat11.30–03.00Sabtu11.30–03.00Minggu11.30–03.00Senin11.30–02.00Selasa11.30–02.00Sarankan jam buka baru
Bar Olahraga,Hall RT 02 Taman Manggis Permai,,https://www.google.com/maps/place/Hall+RT+02+Taman+Manggis+Permai/data=!4m7!3m6!1s0x2e69eb1effa18299:0x74870455ec400a2e!8m2!3d-6.4061453!4d106.856735!16s%2Fg%2F11snlm5t5v!19sChIJmYKh_x7raS4RLgpA7FUEh3Q?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 23.00,,(3),,"4,3 bintang",Rabu06.00–23.00Kamis06.00–23.00Jumat06.00–23.00Sabtu06.00–23.00Minggu06.00–23.00Senin06.00–23.00Selasa06.00–23.00Sarankan jam buka baru
